Overall demand,1524950903.1464477

Overall demand from categories,1524950903.1464474,99.99999999999999

Category, demand (bytes), percentage of overall demand (%)
"Listening",5094656.369140662,0.3340865832879473
"Gaming",2393611.7683603205,0.15696320212156045
"Shopping",9269841.430604499,0.6078780248910266
"Watching",238732326.76829317,15.655082814516467
"News, Weather and Magazines",49719438.24229126,3.260395999615765
"Background Processes and Services",108144361.17395826,7.091661833231669
"Health and Fitness",558935.6072106262,0.036652695247917054
"Photography",1439134.7215821813,0.09437252823109249
"Social Media",632248558.7511227,41.460256684106845
"Communication",29346144.11031468,1.9243992740857732
"Storage, Backups and Transfers",32115721.929620303,2.106016781481659
"Tools",110137266.92060183,7.222348384682709
"Speciality",5265011.6715922,0.3452577824459033
"Office",585804.1547649406,0.03841462394338366
"Browsers",120066060.86119351,7.8734378014046165
"SMS and Phone",215226.23311833094,0.014113649998452561
"Google Play Updates",71889651.6683301,4.714227292170483
"Navigation and Travel",48620255.758875005,3.1883161391331556
"Analysers",35228212.95077756,2.310121124430354
"Security",940382.1588089331,0.06166638918463751
"Settings",145687.0588235294,0.009553557332431602
"Searching and Wikis",3724981.304076448,0.24426893327455027
"Reading",30307.809384164222,0.0019874613223041997
"Online Dating",19039323.72360248,1.2485204398593055
